TimePeriod,Indicator,Subgroup,DataValue
2015-16,"9.c.2: No. of Broadband Subscribers per 10,000 persons",Total,1179.0
2015-16 ,7.1.2: Percentage of households using clean cooking fuel,Total,62.83
2015-16 ,8.9.1: Direct contribution of Tourism to total GDP and in growth rate (in percentage),Total share in GDP (in %),2.65
2015-17,14.2.1: Percentage change in area under mangroves (similar to Indicator 14.5.2),Total,3.82
2015-17,14.5.2: Percentage change in area under mangroves (similar to Indicator 14.2.1),Total,3.82
2015-17,15.2.1: Percentage change in Forest cover,Total,0.97
2015-17,15.4.1: Percentage change in forest cover in hill districts,Total,0.16
2015-17,2.4.2: Percentage of farmers issued Soil Health Card,Total,100.0
2015-17,"3.1.1: Maternal Mortality Ratio (MMR), (per 1,00,000 live births)",Total,122.0
2015-17,5.1.3: Sex Ratio at Birth,Total,896.0
2016,"1.5.1: Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population (similar to 11.5.1 and 13.1.1)",Total,13706.39
2016,"10.2.2: Proportion of seats held by women in national Parliament, State legislation and Local Self Government (similar to Indicator 5.5.1 and 16.7.1)",Rajya Sabha,11.07
2016,10.7.1: Recruitment cost borne by employee as a proportion of monthly income earned in country of destination,Total,1.43
2016,11.2.2: People killed/injured in road accidents (similar to 3.6.1 ),Death Rate,11.92
2016,11.2.2: People killed/injured in road accidents (similar to 3.6.1 ),Injury Rate,38.11
2016,11.3.1: Proportion of Cities with Master Plan (similar to 11.a.1),Total,33.17
2016,"11.5.1: Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population (similar to 1.5.1 and 13.1.1)",Total,13706.39
2016,11.6.1: Percentage of Waste processed,Total,17.97
2016,11.6.4: Percentage of wards with 100% door to door waste collection,Total,43.0
2016,11.a.1: Proportion of Cities with Master Plan (similar to 11.3.1),Total,33.17
2016,12.3.1: Per capita food availability,Food Grains,177.7
2016,12.a.1: Installed renewable energy generating capacity in the country (similar to 7.b.1 ),Total,69.51
2016,"13.1.1: Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population (similar to 11.5.1 and 1.5.1 )",Total,13706.39
2016,15.1.2: Protected area as percentage of total geographical area,Total,5.08
2016,15.1.3: Area of Ramsar sites as a percentage to the total wetland area,Total,4.15
2016,"15.7.1: Number of cases registered under the Wildlife Protection Act, 1972 (similar to 15.c.1)",Total,565.0
2016,"15.c.1: Number of cases registered under the Wildlife Protection Act, 1972 (similar to 15.7.1)",Total,565.0
2016,"16.1.1: Number of victims of intentional homicide per 1,00,000 population.",Total,2.47
2016,"16.1.2: Per 1,00,000 Population subjected to physical, psychological or sexual violence in the previous 12 months",Total,59.07
2016,"16.2.1: Proportion of Crime Committed against Children during the year, (rate per 1,00,000 children)",Total,24.95
2016,"16.2.2: Number of victims rescued from human trafficking per 1,00,000 population, by sex, age and form of exploitation",Total,1.81
2016,16.2.3: Number of Missing Children (similar to Indicator 8.7.2 ),Total,63407.0
2016,16.3.1: Number of courts per lakh population,Courts,1.89
2016,16.3.2: Unsentenced detainees as a proportion of overall prison population,Undertrials,67.7
2016,16.3.3: Number of Judges (all levels) per lakh population,Judges,1.32
2016,16.4.1: Number of cases under the Arms Act,Arms Cases,55660.0
2016,16.4.2: Value of Property Stolen and Recovered and Percentage Recovery,Percentage Recovery of Stolen Property,15.0
2016,16.4.2: Value of Property Stolen and Recovered and Percentage Recovery,Properties Recovered,1459.0
2016,16.4.2: Value of Property Stolen and Recovered and Percentage Recovery,Properties Stolen,9733.1
2016,"16.5.1: Cases reported under Prevention of Corruption Act and related section of IPC per 1,00,000 population",Total,0.35
2016,"16.7.1: Proportion of seats held by women in national Parliament, State legislation and Local Self Government (similar to Indicator 5.5.1 and 10.2.2)",Rajya Sabha,11.07
2016,16.9.1: Percentage of births registered,Total,86.0
2016,17.11.1: Share of India�s exports in Global exports,Commercial Services Exports,3.21
2016,17.11.1: Share of India�s exports in Global exports,Merchandise Exports,1.65
2016,17.19.2: Proportion of States/UTs that have achieved 100 per cent birth registration and 80 per cent death registration,Birth,41.7
2016,17.19.2: Proportion of States/UTs that have achieved 100 per cent birth registration and 80 per cent death registration,Death,63.9
2016,2.5.1: Number of (a) plant and (b) animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,Animal,9912.0
2016,2.5.1: Number of (a) plant and (b) animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,Plant,444607.0
2016,3.2.1: Under-five Mortality Rate,Total Person,39.0
2016,3.2.2: Neonatal Mortality Rate,Total,24.0
2016,"3.3.2: Tuberculosis incidence per 1,00,000 population",Total,211.0
2016,"3.3.3: Malaria incidence per 1,000 population",Total,0.85
2016,3.3.5: Dengue: Case Fatality Ratio (CFR),Total,0.19
2016,"3.3.7: Percentage of blocks reporting < 1 Kala Azar case per 10,000 population out of the total endemic blocks",Total,85.15
2016,3.3.8: Percentage of districts reporting < 1% Microfilaria rate (MF) out of Targeted Endemic districts,Total,30.47
2016,"3.4.2. Suicide mortality rate (per 1,00,000 population)",Total,10.3
2016,3.6.1: People killed/injured in road accidents (similar to 11.2.2),Death Rate,11.92
2016,3.6.1: People killed/injured in road accidents (similar to 11.2.2),Injury Rate,38.11
2016,"3.7.2: Adolescent birth rate (aged 15�19 years) per 1,000 women in that age group",Total,10.7
2016,"3.8.8: Total physicians, nurses and midwives per 10,000 population (similar to Indicator 3.c.1)",Total,36.4
2016,3.9.3: Mortality rate attributed to unintentional poisoning,Total,1.81
2016,"3.c.1: Total physicians, nurses and midwives per 10,000 population (similar to Indicator 3.8.8)",Total,36.4
2016,5.1.2: Per lakh women that have been subjected to dowry offences during the year,Total,2.82
2016,"5.1.4: Rate of Crimes Against Women Per 1,00,000 Female Population",Female,55.19
2016,5.2.1: Proportion of crime against women to total crime reported in the country during the calendar year,Total,7.02
2016,5.2.2: Per lakh women who have experienced sexual crimes during the calendar year,Total,23.1
2016,5.2.3: Per lakh women who have experienced cruelty/physical violence by husband or his relatives during the year,Total,18.05
2016,5.2.4: Proportion of sexual crime against girl children to total crime against children during the calendar year,Total,43.02
2016,5.2.5: Proportion of trafficking of girl children to total children trafficked during the calendar year,Total,54.36
2016,"5.3.2: Proportion of cases reported under the Prohibition of Child Marriage Act (early marriage of children below 18 years of age) to total crime against children, (in percentage)",Total,0.3
2016,"5.5.1: Proportion of seats held by women in national Parliament, State legislation and Local Self Government (similar to Indicator 10.2.2 and 16.7.1)",Rajya Sabha,11.07
2016,6.3.2: Proportion of water bodies with good ambient water quality,Total,87.0
2016,7.b.1: Installed renewable energy generating capacity in the country(in watts per capita) (similar to 12.a.1),Total,69.51
2016,8.3.5: Number of start-ups recognized under Start-up India,Total,502.0
2016,"8.7.1: Human trafficking cases per 10,00,000 population.",Total,6.38
2016,8.7.2: Number of Missing Children (similar to Indicator 16.2.3),Total,63407.0
2016,8.8.1: Number of accidents in factories,Total,6556.0
2016,8.9.2: Percentage change in number of visits by tourists (domestic and foreign) over previous years,Total,12.7
2016-17,1.3.2: Number of beneficiaries under Integrated Child Development Scheme - ICDS,Total Beneficiaries (Children 6 month-6 years plus P&LM),98342390.0
2016-17,1.3.3: Persons provided employment as a percentage of persons who demanded employment under Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA),Total,85.3
2016-17,1.3.4: Number of Self Help Groups (SHGs) provided bank credit linkage,Total SHGs,18.98
2016-17,1.3.6: Number of senior citizens provided institutional assistance through Senior Citizen Homes/Day Care Centers funded by the Government,Total,40200.0
2016-17,1.3.7: Number of beneficiaries added under Employee�s Pension Scheme (EPS) during the year,Total,24229144.0
2016-17,1.3.8: Coverage of New Pension Scheme (NPS),Total,10575160.0
2016-17,1.4.2: Number of telephone subscriptions as percentage of total population,Total,93.01
2016-17,"1.a.2: Proportion of total government spending on essential services (education, health and social protection)",Essential Services,30.23
2016-17,1.b.1: Proportion of budget earmarked under gender budget,Total,4.58
2016-17,10.4.1: Labour Share of GDP,Total,30.49
2016-17,10.4.2: Percentage of budget allocated to North Eastern States,Total,1.62
2016-17,10.4.3: Percentage of budget allocated for welfare of Scheduled Caste and Scheduled Caste,Total,2.83
2016-17,"11.4.1: Total per capita expenditure on the preservation, protection and conservation of all cultural and natural heritage",Total,2.32
2016-17,12.3.2: Post harvest storage and distribution losses of Central/States Pool stocks of wheat and rice,Storage Loss,-0.11
2016-17,12.3.2: Post harvest storage and distribution losses of Central/States Pool stocks of wheat and rice,Transit Loss,0.3
2016-17,12.c.1: Amount of fossil fuel subsidy per unit of GDP,Total,0.18
2016-17,"14.1.2: Percentage use of nitrogenous fertilizers to total fertilizers (N, P & K)",Total,64.49
2016-17,14.4.1: Maximum Sustainable Yield (MSY) in fishing,Total,3.078
2016-17,14.b.1: Assistance to the traditional / artisanal fishers for procurement of FRP boats and other associated fishing implements,Boats,259.0
2016-17,14.b.1: Assistance to the traditional / artisanal fishers for procurement of FRP boats and other associated fishing implements,Project cost,1098.25
2016-17,15.2.2: Total area covered under different Afforestation schemes,Total,1839458.0
2016-17,15.4.2: Percentage change in per capita income of Himalayan States over previous year,Total,9.77
2016-17,15.b.1: Percentage of government spending on environmental protection to total government expenditure,Total,0.04
2016-17,16.10.1: Percentage of RTI queries responded (similar to Indicator 16.6.2),Total,80.9
2016-17,16.6.1: Primary government expenditures as a proportion of original approved budget,Total,99.86
2016-17,16.6.2: Percentage of RTI queries responded (similar to 16.10.1),Total,80.9
2016-17,16.6.3: Number of Government services provided online to citizens.,Online Services,1052.0
2016-17,16.9.2: Proportion of population covered under Aadhaar,Total,85.7
2016-17,"17.1.1: Total government revenue as a proportion of GDP, by source",Total,8.93
2016-17,17.1.2: Proportion of domestic budget funded by domestic taxes,Total,71.58
2016-17,17.19.1: Budget allocated to different Ministries for strengthening statistics,Total,307451.0
2016-17,17.3.1: Foreign Direct Investment as proportion of Gross National Income.,Total,1.86
2016-17,17.3.2: Volume of remittances as a proportion of total GDP,Total,2.47
2016-17,17.4.1: Debt service as a proportion of exports of goods and services.,Total,9.8
2016-17,"17.6.1: Fixed internet broadband subscriptions per 100 inhabitants, by speed.",Broadband ( >= 512 Kbps),1.404
2016-17,"17.6.1: Fixed internet broadband subscriptions per 100 inhabitants, by speed.",Narrowband ( < 512 Kbps),0.256
2016-17,2.1.2: Proportion of beneficiaries covered under National Food Security Act 2013,Total,99.01
2016-17,2.3.1: Agriculture productivity of wheat and rice,Rice,2494.0
2016-17,2.3.1: Agriculture productivity of wheat and rice,Wheat,3200.0
2016-17,2.3.2: Gross Value Added in Agriculture per worker,Total,65602.0
2016-17,2.3.3: Ratio of institutional Credit to Agriculture to the Agriculture output,Total,0.54
2016-17,2.4.1: Proportion of Net Sown Area to Cultivable land,Total,76.97
2016-17,2.4.3: Percentage of net area under organic farming,Total,1.1041
2016-17,2.5.3: Conservation of fish genetic resource (in number),Total,1549.0
2016-17,2.a.1: The agriculture orientation index for government expenditures,Total,0.399
2016-17,2.a.2: Percentage share of expenditure in Intellectual Property Product (R&D) in agriculture to GVA in agriculture,Total,0.052
2016-17,2.c.1: Percentage of Agriculture Mandis enrolled in e-market,Total,6.49
2016-17,"3.3.1: Number of new HIV infections per 1,000 uninfected population",Total,0.07
2016-17,3.5.2: Number of persons treated in de-addiction centers,Total,114759.0
2016-17,3.a.1: Percentage of adults 15 years and above with use of any kind of tobacco (smoking and smokeless),Total,28.6
2016-17,3.b.2: Budgetary allocation for Department of Health Research,Total,1144.8
2016-17,3.c.2: Percentage of government spending (including current and capital expenditure) in health sector to GDP,Total,1.18
2016-17,"4.1.2: Gross Intake Ratio to the last grade (primary, upper primary and secondary)",Grade 10,80.39
2016-17,"4.1.2: Gross Intake Ratio to the last grade (primary, upper primary and secondary)",Grade 5,97.58
2016-17,"4.1.2: Gross Intake Ratio to the last grade (primary, upper primary and secondary)",Grade 8,98.85
2016-17,4.1.3: Gross Enrolment Rate(GER) in higher secondary education,Total,43.77
2016-17,4.1.4: Net Enrolment Rate(NER) in primary and upper primary education,Primary,91.31
2016-17,4.1.4: Net Enrolment Rate(NER) in primary and upper primary education,Upper Primary,70.71
2016-17,"4.1.5: Adjusted Net Enrolment Rate(ANER) in primary, upper primary and secondary education",Primary,96.08
2016-17,"4.1.5: Adjusted Net Enrolment Rate(ANER) in primary, upper primary and secondary education",Secondary,58.03
2016-17,"4.1.5: Adjusted Net Enrolment Rate(ANER) in primary, upper primary and secondary education",Upper Primary,79.66
2016-17,4.3.3: Gross enrolment ratio for tertiary education,Tertiary Education,25.2
2016-17,4.5.1: Gender Parity Indices (GPI) for primary/secondary/higher secondary/tertiary education,Higher Secondary,1.02
2016-17,4.5.1: Gender Parity Indices (GPI) for primary/secondary/higher secondary/tertiary education,Primary,1.02
2016-17,4.5.1: Gender Parity Indices (GPI) for primary/secondary/higher secondary/tertiary education,Secondary,1.02
2016-17,4.5.1: Gender Parity Indices (GPI) for primary/secondary/higher secondary/tertiary education,Tertiary Education,0.94
2016-17,4.5.2: Enrolment ratio of children with disabilities,Elementary,1.1
2016-17,4.5.2: Enrolment ratio of children with disabilities,Higher Secondary,0.28
2016-17,4.5.2: Enrolment ratio of children with disabilities,Primary,1.09
2016-17,4.5.2: Enrolment ratio of children with disabilities,Secondary,0.56
2016-17,4.5.2: Enrolment ratio of children with disabilities,Upper Primary,1.13
2016-17,4.a.1: Proportion of schools with access to: (a) electricity; (b) computers for pedagogical purposes; (c) adapted infrastructure and materials for students with disabilities/ disabled friendly ramp and toilets; (d) basic drinking water; (e) single-sex basic sanitation facilities; and (f) basic hand washing facilities (as per the WASH indicator definitions),Adapted infrastructure and materials for students with disabilities/disabled friendly  Toilets,22.44
2016-17,4.a.1: Proportion of schools with access to: (a) electricity; (b) computers for pedagogical purposes; (c) adapted infrastructure and materials for students with disabilities/ disabled friendly ramp and toilets; (d) basic drinking water; (e) single-sex basic sanitation facilities; and (f) basic hand washing facilities (as per the WASH indicator definitions),Adapted infrastructure and materials for students with disabilities/disabled friendly Ramp ,61.31
2016-17,4.a.1: Proportion of schools with access to: (a) electricity; (b) computers for pedagogical purposes; (c) adapted infrastructure and materials for students with disabilities/ disabled friendly ramp and toilets; (d) basic drinking water; (e) single-sex basic sanitation facilities; and (f) basic hand washing facilities (as per the WASH indicator definitions),Basic drinking water,87.34
2016-17,4.a.1: Proportion of schools with access to: (a) electricity; (b) computers for pedagogical purposes; (c) adapted infrastructure and materials for students with disabilities/ disabled friendly ramp and toilets; (d) basic drinking water; (e) single-sex basic sanitation facilities; and (f) basic hand washing facilities (as per the WASH indicator definitions),Basic hand washing facilities (as per the WASH indicator definitions),55.55
2016-17,4.a.1: Proportion of schools with access to: (a) electricity; (b) computers for pedagogical purposes; (c) adapted infrastructure and materials for students with disabilities/ disabled friendly ramp and toilets; (d) basic drinking water; (e) single-sex basic sanitation facilities; and (f) basic hand washing facilities (as per the WASH indicator definitions),Computers for pedagogical purposes,28.24
2016-17,4.a.1: Proportion of schools with access to: (a) electricity; (b) computers for pedagogical purposes; (c) adapted infrastructure and materials for students with disabilities/ disabled friendly ramp and toilets; (d) basic drinking water; (e) single-sex basic sanitation facilities; and (f) basic hand washing facilities (as per the WASH indicator definitions),Electricity,60.81
2016-17,4.a.1: Proportion of schools with access to: (a) electricity; (b) computers for pedagogical purposes; (c) adapted infrastructure and materials for students with disabilities/ disabled friendly ramp and toilets; (d) basic drinking water; (e) single-sex basic sanitation facilities; and (f) basic hand washing facilities (as per the WASH indicator definitions),Single-sex basic sanitation facilities (Boys),95.62
2016-17,4.a.1: Proportion of schools with access to: (a) electricity; (b) computers for pedagogical purposes; (c) adapted infrastructure and materials for students with disabilities/ disabled friendly ramp and toilets; (d) basic drinking water; (e) single-sex basic sanitation facilities; and (f) basic hand washing facilities (as per the WASH indicator definitions),Single-sex basic sanitation facilities (Girls),96.88
2016-17,"4.c.1: Proportion of trained teacher, by education level (primary, upper primary, elementary, secondary and higher secondary education), (in percentage)",Higher Secondary,84.21
2016-17,"4.c.1: Proportion of trained teacher, by education level (primary, upper primary, elementary, secondary and higher secondary education), (in percentage)",Primary,67.22
2016-17,"4.c.1: Proportion of trained teacher, by education level (primary, upper primary, elementary, secondary and higher secondary education), (in percentage)",Secondary,79.96
2016-17,"4.c.1: Proportion of trained teacher, by education level (primary, upper primary, elementary, secondary and higher secondary education), (in percentage)",Upper Primary,72.62
2016-17,"5.5.2: Proportion of women in managerial positions including women in Board of Director, in listed companies, (per 1,000 persons)",Total,177.0
2016-17,"5.a.5: Exclusive women SHGs in Bank linked SHGs, (in percentage)",Total,90.41
2016-17,5.c.1: Number of Central Ministries and States having Gender Budget Cells (GBCs),Central Ministries,57.0
2016-17,5.c.1: Number of Central Ministries and States having Gender Budget Cells (GBCs),States/UT,23.0
2016-17,6.1.1: Percentage of Population getting safe and adequate drinking water within premises through Pipe Water Supply (PWS),Rural,36.52
2016-17,6.1.2: Percentage of population using an improved drinking water source (Rural),Rural,94.35
2016-17,6.2.1: Proportion of households having access to toilet facility (Urban and Rural),Rural,63.02
2016-17,6.2.2: Percentage of Districts achieving Open Defecation Free (ODF) target,Total,18.45
2016-17,"6.2.3: Proportion of schools with separate toilet facility for girls,(in percentage)",Total,96.88
2016-17,7.1.2: Percentage of households using clean cooking fuel,Total,74.16
2016-17,7.2.1: Renewable energy share in the total installed electricity generation,Total,15.5
2016-17,"7.3.1: Energy intensity measured in terms of primary energy and GDP, (in mega joules per rupee)",Total,0.191
2016-17,8.1.1: Annual growth rate of GDP (adjusted to price changes) per capita,Total,6.9
2016-17,"8.10.1 (a): Number of banking outlets per 1,00,000 population, (b) Automated Teller Machines (ATMs) per 1,00,000 population",ATMs,17.1
2016-17,"8.10.1 (a): Number of banking outlets per 1,00,000 population, (b) Automated Teller Machines (ATMs) per 1,00,000 population",Banking Outlets,60.5
2016-17,"8.10.2: Number of accounts (include deposit and credit accounts) of scheduled commercial banks per 1,000 population",Total,1538.0
2016-17,"8.2.2: Total number of patents issued (granted), (similar to Indicator 8.3.2 and 9.5.3) )",Total,9847.0
2016-17,8.2.3: Annual growth in manufacturing sector,Manufacturing,7.9
2016-17,8.2.4: Annual growth in agriculture sector,"Agriculture, forestry and fishing",6.8
2016-17,"8.3.2: Total number of patents issued (granted), (similar to Indicator 8.2.2 and 9.5.3) )",Total,9847.0
2016-17,8.3.3: Outstanding Credit to MSME,Total,1296398.83
2016-17,8.3.4: Number of MSME units registered under the online Udyog Aadhaar registration,Total,2373195.0
2016-17,"8.4.2: Per capita fossil fuel consumption, (in Kg.)",Total,141.5
2016-17,8.8.3: Percentage of households receiving social protection benefits under Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA),Total,39.87
2016-17,"9.1.2: Passenger and freight volumes, by mode of transport",Airline Domestic - Cargo,0.64
2016-17,"9.1.2: Passenger and freight volumes, by mode of transport",Airline Domestic - Passengers,103.75
2016-17,"9.1.2: Passenger and freight volumes, by mode of transport",Airline International - Cargo,0.29
2016-17,"9.1.2: Passenger and freight volumes, by mode of transport",Airline International - Passengers,20.81
2016-17,"9.1.2: Passenger and freight volumes, by mode of transport",Railways Freight,620858.0
2016-17,"9.1.2: Passenger and freight volumes, by mode of transport",Railways Passengers,8116.0
2016-17,"9.1.2: Passenger and freight volumes, by mode of transport",Road Freight,2260.2
2016-17,"9.1.2: Passenger and freight volumes, by mode of transport",Road Passengers,17832.0
2016-17,9.1.3: Gross Capital Formation by industry of use,Constant Prices,3910207.0
2016-17,9.1.3: Gross Capital Formation by industry of use,Current Prices,4476754.0
2016-17,9.2.1: Manufacturing Value Added (MVA) as a proportion of Gross Domestic Product (GDP) and per capita,At constant price,16.69
2016-17,9.2.1: Manufacturing Value Added (MVA) as a proportion of Gross Domestic Product (GDP) and per capita,At current price,15.16
2016-17,9.2.1: Manufacturing Value Added (MVA) as a proportion of Gross Domestic Product (GDP) and per capita,Per capita,1581.8
2016-17,9.2.3: Percentage Share of GVA in Manufacturing to Total GVA,GVA,16.7
2016-17,"9.3.1: Share of household sector in total industry value added, (in percentage)",Total,43.71
2016-17,"9.3.2: Percentage of credit flow MSME (as a percentage of Total Adjusted Net Bank Credit), (in percentage)",Total,17.29
2016-17,9.4.1: Total CO2 emissions of power sector per unit of GDP(in Tonne/Rupees Crore),Total,57.71
2016-17,"9.4.2: Energy use intensity of manufacturing value added, (Tonne of Oil Equivalent /000� rupees)",Total,0.0094
2016-17,9.5.1: Research and development expenditure as a proportion of GDP,Total,3.82
2016-17,"9.5.3: Total number of patents issued (granted), (similar to Indicator 8.2.2 and 8.3.2) )",Total,9847.0
2016-17,"9.b.1: Share of IPP in total Gross Fixed Capital Formation, (in percentage)",Total,13.55
2016-17,"9.b.2: Share of GVA of Information and Computer related activities in total GVA, (in percentage)",Constant Prices,4.9
2016-17,"9.b.2: Share of GVA of Information and Computer related activities in total GVA, (in percentage)",Current Prices,4.45
2016-17,9.c.1: Number of Internet Subscription as percentage of total population,Total,32.86
2016-17,"9.c.2: No. of Broadband Subscribers per 10,000 persons",Total,2152.0
2016-17 ,8.9.1: Direct contribution of Tourism to total GDP and in growth rate (in percentage),Growth Rate,10.68
2016-17 ,8.9.1: Direct contribution of Tourism to total GDP and in growth rate (in percentage),Total share in GDP (in %),2.62
2016-18,"3.1.1: Maternal Mortality Ratio (MMR), (per 1,00,000 live births)",Total,113.0
2016-18,5.1.3: Sex Ratio at Birth,Total,899.0
2017,"1.5.1: Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population (similar to 11.5.1 and 13.1.1)",Total,13381.24
2017,10.7.1: Recruitment cost borne by employee as a proportion of monthly income earned in country of destination,Total,1.43
2017,11.2.2: People killed/injured in road accidents (similar to 3.6.1 ),Death Rate,11.65
2017,11.2.2: People killed/injured in road accidents (similar to 3.6.1 ),Injury Rate,35.41
2017,11.3.1: Proportion of Cities with Master Plan (similar to 11.a.1),Total,34.51
2017,"11.5.1: Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population (similar to 1.5.1 and 13.1.1)",Total,13381.24
2017,11.6.1: Percentage of Waste processed,Total,23.14
2017,11.6.4: Percentage of wards with 100% door to door waste collection,Total,53.0
2017,11.a.1: Proportion of Cities with Master Plan (similar to 11.3.1),Total,34.51
2017,12.3.1: Per capita food availability,Food Grains,178.4
2017,12.a.1: Installed renewable energy generating capacity in the country (similar to 7.b.1 ),Total,78.73
2017,"13.1.1: Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population (similar to 11.5.1 and 1.5.1 )",Total,13381.24
2017,15.1.1: Forest cover as a percentage of total geographical area,Total,21.54
2017,15.1.2: Protected area as percentage of total geographical area,Total,5.13
2017,15.1.3: Area of Ramsar sites as a percentage to the total wetland area,Total,4.15
2017,15.2.3: Tree cover as percentage of total geographical area,Total,2.85
2017,"15.7.1: Number of cases registered under the Wildlife Protection Act, 1972 (similar to 15.c.1)",Total,342.0
2017,"15.c.1: Number of cases registered under the Wildlife Protection Act, 1972 (similar to 15.7.1)",Total,342.0
2017,"16.1.1: Number of victims of intentional homicide per 1,00,000 population.",Total,2.34
2017,"16.1.2: Per 1,00,000 Population subjected to physical, psychological or sexual violence in the previous 12 months",Total,97.74
2017,"16.2.1: Proportion of Crime Committed against Children during the year, (rate per 1,00,000 children)",Total,31.13
2017,"16.2.2: Number of victims rescued from human trafficking per 1,00,000 population, by sex, age and form of exploitation",Total,0.45
2017,16.2.3: Number of Missing Children (similar to Indicator 8.7.2 ),Total,63349.0
2017,16.3.1: Number of courts per lakh population,Courts,1.8
2017,16.3.2: Unsentenced detainees as a proportion of overall prison population,Undertrials,68.5
2017,16.3.3: Number of Judges (all levels) per lakh population,Judges,1.33
2017,16.4.1: Number of cases under the Arms Act,Arms Cases,58053.0
2017,16.4.2: Value of Property Stolen and Recovered and Percentage Recovery,Percentage Recovery of Stolen Property,25.9
2017,16.4.2: Value of Property Stolen and Recovered and Percentage Recovery,Properties Recovered,1296.1
2017,16.4.2: Value of Property Stolen and Recovered and Percentage Recovery,Properties Stolen,5002.5
2017,"16.5.1: Cases reported under Prevention of Corruption Act and related section of IPC per 1,00,000 population",Total,0.32
2017,16.9.1: Percentage of births registered,Total,84.9
2017,17.11.1: Share of India�s exports in Global exports,Commercial Services Exports,3.39
2017,17.11.1: Share of India�s exports in Global exports,Merchandise Exports,1.69
2017,17.19.2: Proportion of States/UTs that have achieved 100 per cent birth registration and 80 per cent death registration,Birth,33.3
2017,17.19.2: Proportion of States/UTs that have achieved 100 per cent birth registration and 80 per cent death registration,Death,61.1
2017,2.5.1: Number of (a) plant and (b) animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,Animal,24852.0
2017,2.5.1: Number of (a) plant and (b) animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,Plant,449702.0
2017,3.2.1: Under-five Mortality Rate,Total Person,37.0
2017,3.2.2: Neonatal Mortality Rate,Total,23.0
2017,"3.3.2: Tuberculosis incidence per 1,00,000 population",Total,204.0
2017,"3.3.3: Malaria incidence per 1,000 population",Total,0.64
2017,3.3.5: Dengue: Case Fatality Ratio (CFR),Total,0.17
2017,"3.3.7: Percentage of blocks reporting < 1 Kala Azar case per 10,000 population out of the total endemic blocks",Total,88.63
2017,3.3.8: Percentage of districts reporting < 1% Microfilaria rate (MF) out of Targeted Endemic districts,Total,34.77
2017,"3.4.2. Suicide mortality rate (per 1,00,000 population)",Total,10.1
2017,3.6.1: People killed/injured in road accidents (similar to 11.2.2),Death Rate,11.65
2017,3.6.1: People killed/injured in road accidents (similar to 11.2.2),Injury Rate,35.41
2017,"3.7.2: Adolescent birth rate (aged 15�19 years) per 1,000 women in that age group",Total,13.0
2017,3.8.7: Percentage of TB cases successfully treated (cured plus treatment completed) among TB cases notified to the national health authorities during a specified period,Total,65.25
2017,"3.8.8: Total physicians, nurses and midwives per 10,000 population (similar to Indicator 3.c.1)",Total,37.6
2017,3.9.3: Mortality rate attributed to unintentional poisoning,Total,1.61
2017,"3.c.1: Total physicians, nurses and midwives per 10,000 population (similar to Indicator 3.8.8)",Total,37.6
2017,"5.1.1: Whether or not legal framework are in place to promote, enforce and monitor equality and nondiscrimination on the basis of sex.",Employment and economic benefits,87.5
2017,"5.1.1: Whether or not legal framework are in place to promote, enforce and monitor equality and nondiscrimination on the basis of sex.",Marriage and family,100.0
2017,"5.1.1: Whether or not legal framework are in place to promote, enforce and monitor equality and nondiscrimination on the basis of sex.",Overarching legal frameworks and public life,76.9
2017,"5.1.1: Whether or not legal framework are in place to promote, enforce and monitor equality and nondiscrimination on the basis of sex.",Violence against women,92.3
2017,5.1.2: Per lakh women that have been subjected to dowry offences during the year,Total,2.93
2017,"5.1.4: Rate of Crimes Against Women Per 1,00,000 Female Population",Female,57.93
2017,5.2.1: Proportion of crime against women to total crime reported in the country during the calendar year,Total,7.19
2017,5.2.2: Per lakh women who have experienced sexual crimes during the calendar year,Total,27.2
2017,5.2.3: Per lakh women who have experienced cruelty/physical violence by husband or his relatives during the year,Total,17.4
2017,5.2.4: Proportion of sexual crime against girl children to total crime against children during the calendar year,Total,49.9
2017,5.2.5: Proportion of trafficking of girl children to total children trafficked during the calendar year,Total,42.38
2017,"5.3.2: Proportion of cases reported under the Prohibition of Child Marriage Act (early marriage of children below 18 years of age) to total crime against children, (in percentage)",Total,0.31
2017,"5.b.1: Percentage of women employed in IT and ITeS industry, (in percentage)",Total,34.0
2017,6.3.2: Proportion of water bodies with good ambient water quality,Total,88.0
2017,6.4.1: Percentage ground water withdrawal against availability,Total,63.33
2017,"6.6.1: Percentage of blocks/mandals/taluka over-exploited, (in percentage)",Total,17.0
2017,7.b.1: Installed renewable energy generating capacity in the country(in watts per capita) (similar to 12.a.1),Total,78.73
2017,8.3.5: Number of start-ups recognized under Start-up India,Total,5383.0
2017,"8.7.1: Human trafficking cases per 10,00,000 population.",Total,2.21
